,f0,f1,t0,t1,dB0,dB1,dist,utime,ufreq
1987,214,277,126.80417233560091,129.12616780045352,23,21,118,2,63
1988,214,427,126.80417233560091,128.08126984126986,23,20,220,1,213
1989,214,427,126.80417233560091,129.42802721088435,23,21,241,3,213
1990,214,615,126.80417233560091,129.07972789115647,23,9,413,2,401
1991,304,41,128.05804988662132,129.3815873015873,21,47,269,1,263
1992,304,41,128.05804988662132,130.1942857142857,21,48,279,2,263
1993,304,41,128.05804988662132,130.8908843537415,21,47,290,3,263
1994,304,277,128.05804988662132,129.12616780045352,21,21,53,1,27
1995,304,206,128.05804988662132,130.2871655328798,21,22,137,2,98
1996,304,206,128.05804988662132,130.84444444444443,21,23,155,3,98
1997,304,427,128.05804988662132,129.42802721088435,21,21,136,1,123
1998,304,445,128.05804988662132,130.12462585034015,21,19,167,2,141
1999,304,427,128.05804988662132,130.77478458049887,21,20,170,3,123
2000,304,615,128.05804988662132,129.07972789115647,21,9,314,1,311
2001,277,41,129.12616780045352,130.1942857142857,21,48,240,1,236
2002,277,41,129.12616780045352,130.8908843537415,21,47,248,2,236
2003,277,36,129.12616780045352,131.93578231292517,21,48,270,3,241
2004,277,206,129.12616780045352,130.2871655328798,21,22,87,1,71
2005,277,206,129.12616780045352,130.84444444444443,21,23,103,2,71
2006,277,427,129.12616780045352,130.77478458049887,21,20,166,2,150
2007,206,36,130.2871655328798,131.93578231292517,22,48,184,2,170
2008,206,64,130.2871655328798,133.23609977324264,22,44,191,3,142
2009,206,258,130.2871655328798,132.53950113378684,22,16,110,2,52
2010,206,264,130.2871655328798,133.0271201814059,22,20,131,3,58
2011,206,427,130.2871655328798,132.12154195011337,22,20,235,2,221
2012,206,36,130.84444444444443,131.93578231292517,23,48,176,1,170
2013,206,64,130.84444444444443,133.23609977324264,23,44,175,2,142
2014,206,258,130.84444444444443,132.53950113378684,23,16,90,2,52
2015,206,264,130.84444444444443,133.0271201814059,23,20,110,2,58
2016,206,213,130.84444444444443,133.81659863945578,23,27,128,3,7
2017,206,427,130.84444444444443,132.12154195011337,23,20,228,1,221
2018,206,427,130.84444444444443,133.4682993197279,23,21,248,3,221
2019,258,62,132.53950113378684,134.1184580498866,16,43,207,2,196
2020,258,27,132.53950113378684,135.1633560090703,16,44,257,3,231
2021,258,213,132.53950113378684,133.81659863945578,16,27,71,1,45
2022,258,278,132.53950113378684,135.11691609977325,16,27,113,3,20
2023,258,443,132.53950113378684,134.16489795918366,16,18,198,2,185
2024,258,445,132.53950113378684,134.8150566893424,16,21,211,2,187
2025,258,625,132.53950113378684,135.20979591836735,16,13,385,3,367
2026,264,62,133.0271201814059,134.1184580498866,20,43,207,1,202
2027,264,27,133.0271201814059,135.1633560090703,20,44,254,2,237
2028,264,61,133.0271201814059,135.92961451247166,20,47,238,3,203
2029,264,278,133.0271201814059,135.11691609977325,20,27,91,2,14
2030,264,443,133.0271201814059,134.16489795918366,20,18,186,1,179
2031,264,445,133.0271201814059,134.8150566893424,20,21,197,2,181
2032,264,625,133.0271201814059,135.20979591836735,20,13,373,2,361
2033,213,27,133.81659863945578,135.1633560090703,27,44,195,1,186
2034,213,61,133.81659863945578,135.92961451247166,27,47,177,2,152
2035,213,278,133.81659863945578,135.11691609977325,27,27,86,1,65
2036,213,214,133.81659863945578,136.2314739229025,27,36,104,2,1
2037,213,289,133.81659863945578,136.71909297052156,27,29,146,3,76
2038,213,606,133.81659863945578,136.34757369614513,27,22,408,3,393
2039,213,625,133.81659863945578,135.20979591836735,27,13,416,1,412
2040,213,676,133.81659863945578,136.34757369614513,27,17,476,3,463
2041,278,28,135.11691609977325,137.09061224489795,27,42,264,2,250
2042,278,214,135.11691609977325,136.2314739229025,27,36,80,1,64
2043,278,289,135.11691609977325,136.71909297052156,27,29,70,2,11
2044,278,606,135.11691609977325,136.34757369614513,27,22,332,1,328
